gcf_id,Category
NRPS_gcf_1670,NRPS
NRPS_gcf_1671,NRPS
NRPS_gcf_1672,NRPS
NRPS_gcf_1673,NRPS
NRPS_gcf_1674,NRPS
NRPS_gcf_1675,NRPS
NRPS_gcf_1676,NRPS
NRPS_gcf_1677,NRPS
NRPS_gcf_1678,NRPS
NRPS_gcf_1679,NRPS
NRPS_gcf_168,NRPS
NRPS_gcf_1680,NRPS
NRPS_gcf_1681,NRPS
NRPS_gcf_1682,NRPS
NRPS_gcf_1683,NRPS
NRPS_gcf_1684,NRPS
NRPS_gcf_1685,NRPS
NRPS_gcf_1686,NRPS
NRPS_gcf_1687,NRPS
NRPS_gcf_1688,NRPS
NRPS_gcf_1689,NRPS
NRPS_gcf_169,NRPS
NRPS_gcf_1690,NRPS
NRPS_gcf_1691,NRPS
NRPS_gcf_1692,NRPS
NRPS_gcf_1693,NRPS
NRPS_gcf_1694,NRPS
NRPS_gcf_1695,NRPS
NRPS_gcf_1696,NRPS
NRPS_gcf_1697,NRPS
NRPS_gcf_1698,NRPS
NRPS_gcf_1699,NRPS
NRPS_gcf_17,NRPS
NRPS_gcf_170,NRPS
NRPS_gcf_1700,NRPS
NRPS_gcf_1701,NRPS
NRPS_gcf_1702,NRPS
NRPS_gcf_1703,NRPS
NRPS_gcf_1704,NRPS
NRPS_gcf_1705,NRPS
NRPS_gcf_1706,NRPS
NRPS_gcf_1707,NRPS
NRPS_gcf_1708,NRPS
NRPS_gcf_1709,NRPS
NRPS_gcf_171,NRPS
NRPS_gcf_1710,NRPS
NRPS_gcf_1711,NRPS
NRPS_gcf_1712,NRPS
NRPS_gcf_1713,NRPS
NRPS_gcf_1714,NRPS
NRPS_gcf_1715,NRPS
NRPS_gcf_1716,NRPS
NRPS_gcf_1717,NRPS
NRPS_gcf_1718,NRPS
NRPS_gcf_1719,NRPS
NRPS_gcf_172,NRPS
NRPS_gcf_1720,NRPS
NRPS_gcf_1721,NRPS
NRPS_gcf_1722,NRPS
NRPS_gcf_1723,NRPS
NRPS_gcf_1724,NRPS
NRPS_gcf_1725,NRPS
NRPS_gcf_1726,NRPS
NRPS_gcf_1727,NRPS
NRPS_gcf_1728,NRPS
NRPS_gcf_1729,NRPS
NRPS_gcf_173,NRPS
NRPS_gcf_1730,NRPS
NRPS_gcf_1731,NRPS
NRPS_gcf_1732,NRPS
NRPS_gcf_1733,NRPS
NRPS_gcf_1734,NRPS
NRPS_gcf_1735,NRPS
NRPS_gcf_1736,NRPS
NRPS_gcf_1737,NRPS
NRPS_gcf_1738,NRPS
NRPS_gcf_1739,NRPS
NRPS_gcf_174,NRPS
